food,merge
"Abiyuch, raw",
"Acerola juice, raw",
"Acerola, (west indian cherry), raw",
Acorn stew (Apache),
"Agave, cooked (Southwest)",
"Agave, dried (Southwest)",
"Agave, raw (Southwest)",
"Alcoholic Beverage, wine, table, red, Barbera",
"Alcoholic Beverage, wine, table, red, Burgundy",
"Alcoholic Beverage, wine, table, red, Cabernet Franc",
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",
"Alcoholic Beverage, wine, table, red, Carignane",
"Alcoholic Beverage, wine, table, red, Claret",
"Alcoholic Beverage, wine, table, red, Gamay",
"Alcoholic Beverage, wine, table, red, Lemberger",
"Alcoholic Beverage, wine, table, red, Merlot",
"Alcoholic Beverage, wine, table, red, Mouvedre",
"Alcoholic Beverage, wine, table, red, Petite Sirah",
"Alcoholic Beverage, wine, table, red, Pinot Noir",
"Alcoholic Beverage, wine, table, red, Sangiovese",
"Alcoholic Beverage, wine, table, red, Syrah",
"Alcoholic Beverage, wine, table, red, Zinfandel",
"Alcoholic beverage, beer, light",
"Alcoholic beverage, beer, light, higher alcohol",
"Alcoholic beverage, beer, light, low carb",
"Alcoholic beverage, beer, regular, all",
"Alcoholic beverage, creme de menthe, 72 proof",
"Alcoholic beverage, daiquiri, canned",
"Alcoholic beverage, daiquiri, prepared-from-recipe",
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",
"Alcoholic beverage, distilled, rum, 80 proof",
"Alcoholic beverage, distilled, vodka, 80 proof",
"Alcoholic beverage, distilled, whiskey, 86 proof",
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",
"Alcoholic beverage, liqueur, coffee, 53 proof",
"Alcoholic beverage, liqueur, coffee, 63 proof",
"Alcoholic beverage, malt beer, hard lemonade",
"Alcoholic beverage, pina colada, canned",
"Alcoholic beverage, pina colada, prepared-from-recipe",
"Alcoholic beverage, rice (sake)",
"Alcoholic beverage, tequila sunrise, canned",
"Alcoholic beverage, whiskey sour",
"Alcoholic beverage, whiskey sour, canned",
"Alcoholic beverage, whiskey sour, prepared from item 14028",
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",
"Alcoholic beverage, wine, cooking",
"Alcoholic beverage, wine, dessert, dry",
"Alcoholic beverage, wine, dessert, sweet",
"Alcoholic beverage, wine, light",
"Alcoholic beverage, wine, table, all",
"Alcoholic beverage, wine, table, red",
"Alcoholic beverage, wine, table, white",
"Alcoholic beverage, wine, table, white, Chardonnay",
"Alcoholic beverage, wine, table, white, Chenin Blanc",
"Alcoholic beverage, wine, table, white, Fume Blanc",
"Alcoholic beverage, wine, table, white, Gewurztraminer",
"Alcoholic beverage, wine, table, white, Muller Thurgau",
"Alcoholic beverage, wine, table, white, Muscat",
"Alcoholic beverage, wine, table, white, Pinot Blanc",
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",
"Alcoholic beverage, wine, table, white, Riesling",
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",
"Alcoholic beverage, wine, table, white, Semillon",
"Alcoholic beverage, wine, table, white, late harvest",
"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",
"Alcoholic beverages, beer, higher alcohol",
"Alcoholic beverages, wine, rose",
"Alfalfa seeds, sprouted, raw",
"Almond butter, creamy",
"Almond milk, refrigerated, unsweetened",
"Almond milk, unsweetened, plain, refrigerated",
"Almond milk, unsweetened, plain, shelf stable",
Almonds dry roasted salted,
"Amaranth grain, cooked",
"Amaranth grain, uncooked",
"Amaranth leaves, cooked, boiled, drained",
"Amaranth leaves, raw",
"Amaranth, flour",
American cheese,
"American pasteurized prepared cheese product, with added vitamin D, sliced, individually wrapped",
"American pasteurized process cheese food, sliced, individually wrapped",
"American pasteurized process cheese food, with added vitamin D, sliced, individually wrapped",
"American pasteurized process cheese product, sliced, individually wrapped",
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",
"Apple juice, with added vitamin C, from concentrate, shelf stable",
"Apples, canned, sweetened, sliced, drained, heated",
"Apples, dehydrated (low moisture), sulfured, stewed",
"Apples, dehydrated (low moisture), sulfured, uncooked",
"Apples, dried, sulfured, stewed, with added sugar",
"Apples, dried, sulfured, stewed, without added sugar",
"Apples, dried, sulfured, uncooked",
"Apples, fuji, with skin, raw",
"Apples, gala, with skin, raw",
"Apples, granny smith, with skin, raw",
"Apples, honeycrisp, with skin, raw",
"Apples, raw, golden delicious, with skin",
"Apples, raw, without skin",
"Apples, raw, without skin, cooked, boiled",
"Apples, raw, without skin, cooked, microwave",
"Apples, red delicious, with skin, raw",
"Applesauce, canned, sweetened",
