name,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (mg),Betaine (mg),Caffeine (mg),Calcium (mg),Campesterol (mg),Carbohydrate (g),"Carotene, alpha (µg)","Carotene, beta (µg)",Cholesterol (mg),Choline (mg),Copper (mg),"Cryptoxanthin, beta (µg)",Cystine (g),Energy (KCAL),Energy (kJ),Fat (g),"Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)","Fatty acids, saturated (g)","Fatty acids, trans (g)","Fatty acids, trans-monoenoic (g)","Fatty acids, trans-polyenoic (g)","Fiber, dietary (g)",Fluoride (µg),Fructose (g),Galactose (g),Glucose (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Iron (mg),Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (µg),Lycopene (µg),Lysine (g),MUFA 14:1 (g),MUFA 15:1 (g),MUFA 16:1 (g),MUFA 16:1 c (g),MUFA 17:1 (g),MUFA 18:1 (g),MUFA 18:1 c (g),MUFA 18:1-11 t (18:1t n-7) (g),MUFA 20:1 (g),MUFA 22:1 (g),MUFA 22:1 c (g),MUFA 24:1 c (g),Magnesium (mg),Maltose (g),Manganese (mg),Methionine (g),Omega-3 (ALA) (g),Omega-3 (DHA) (g),Omega-3 (DPA) (g),Omega-3 (EPA) (g),Omega-6 (AA) (g),Omega-6 (Eicosadienoic Acid) (g),Omega-6 (GLA) (g),Omega-6 (Linoleic Acid) (g),PUFA 18:2 (g),PUFA 18:2 CLAs (g),PUFA 18:2 i (g),PUFA 18:3 (g),PUFA 18:3i (g),PUFA 18:4 (g),PUFA 20:3 (g),PUFA 20:3 n-3 (g),PUFA 20:4 (g),PUFA 21:5 (g),PUFA 22:4 (g),Phenylalanine (g),Phosphorus (mg),Phytosterols (mg),Potassium (mg),Proline (g),Protein (g),Retinol (µg),SFA 10:0 (g),SFA 12:0 (g),SFA 13:0 (g),SFA 14:0 (g),SFA 15:0 (g),SFA 16:0 (g),SFA 17:0 (g),SFA 18:0 (g),SFA 20:0 (g),SFA 22:0 (g),SFA 24:0 (g),SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),Selenium (µg),Serine (g),Sodium (mg),Starch (g),Stigmasterol (mg),Sucrose (g),Sugars (g),TFA 16:1 t (g),TFA 18:1 t (g),TFA 18:2 t not further defined (g),"TFA 18:2 t,t (g)",TFA 22:1 t (g),Theobromine (mg),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),"Vitamin A, IU (IU)","Vitamin A, RAE (µg)",Vitamin B-12 (µg),"Vitamin B-12, added (µg)","Vitamin B1, Thiamin (mg)","Vitamin B2, Riboflavin (mg)","Vitamin B3, Niacin (mg)","Vitamin B5, Pantothenic acid (mg)","Vitamin B6, Pyridoxine (mg)","Vitamin B9, Folate (µg)","Vitamin B9, Folate, DFE (µg)","Vitamin B9, Folate, food (µg)","Vitamin B9, Folic acid (µg)",Vitamin C (mg),Vitamin D (D2 + D3) (µg),"Vitamin D (D2 + D3), International Units (IU)",Vitamin D2 (ergocalciferol) (µg),Vitamin D3 (cholecalciferol) (µg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)","Vitamin E, alpha Tocotrienol (mg)","Vitamin E, beta Tocopherol (mg)","Vitamin E, beta Tocotrienol (mg)","Vitamin E, delta Tocopherol (mg)","Vitamin E, delta Tocotrienol (mg)","Vitamin E, gamma Tocopherol (mg)","Vitamin E, gamma Tocotrienol (mg)",Vitamin K (Dihydrophylloquinone) (µg),Vitamin K (Menaquinone-4) (µg),Vitamin K (phylloquinone) (µg),Water (g),Zinc (mg),10-Formyl folic acid (10HCOFA) (µg),25-hydroxycholecalciferol (µg),5-Formyltetrahydrofolic acid (5-HCOH4 (µg),5-methyl tetrahydrofolate (5-MTHF) (µg),Beta-glucan (g),Beta-sitostanol (mg),Biotin (µg),"Boron, B (µg)",Brassicasterol (mg),Campestanol (mg),"Carotene, gamma (µg)","Choline, free (mg)","Choline, from glycerophosphocholine (mg)","Choline, from phosphocholine (mg)","Choline, from phosphotidyl choline (mg)","Choline, from sphingomyelin (mg)",Citric acid (mg),Cobalt (µg),"Cryptoxanthin, alpha (µg)",Cysteine (g),Daidzein (mg),Daidzin (mg),Delta-5-avenasterol (mg),Delta-7-Stigmastenol (mg),Energy (Atwater General Factors) (KCAL),Energy (Atwater Specific Factors) (KCAL),"Ergosta-5,7-dienol (mg)","Ergosta-7,22-dienol (mg)",Ergosta-7-enol (mg),Ergosterol (mg),Ergothioneine (mg),"Fatty acids, trans-dienoic (g)","Fiber, insoluble (g)","Fiber, soluble (g)",Genistein (mg),Genistin (mg),Glutathione (mg),Glycitin (mg),High Molecular Weight Dietary Fiber (HMWDF) (g),Iodine (µg),Low Molecular Weight Dietary Fiber (LMWDF) (g),Lutein (µg),MUFA 12:1 (g),MUFA 14:1 c (g),MUFA 17:1 c (g),MUFA 20:1 c (g),MUFA 22:1 n-11 (g),MUFA 22:1 n-9 (g),Malic acid (mg),Molybdenum (µg),Nickel (µg),Nitrogen (g),PUFA 20:2 c (g),PUFA 20:3 c (g),PUFA 20:3 n-6 (g),PUFA 22:2 (g),PUFA 22:3 (g),"Phytosterols, other (mg)",Quinic acid (mg),Raffinose (g),Resistant starch (g),SFA 11:0 (g),SFA 21:0 (g),Specific Gravity (SP_GR),Stachyose (g),Sulfur (mg),TFA 14:1 t (g),TFA 18:2 t (g),TFA 18:3 t (g),Total Sugars (g),Total dietary fiber (AOAC 2011.25) (g),Total fat (NLEA) (g),Verbascose (g),Vitamin D4 (µg),Zeaxanthin (µg),cis-Lutein/Zeaxanthin (µg),cis-Lycopene (µg),cis-beta-Carotene (µg),trans-Lycopene (µg),trans-beta-Carotene (µg)
Abalone,,,,,,,,,39.0,,7.46,,,106.0,80.7,0.243,,,177.0,,6.12,2.33,2.12,0.877,,,,,,,,,,,,,3.97,,,,,,,,,0.043,,,2.24,,,0.035,,,,60.0,,,,,,0.051,0.061,,,,,1.77,,,0.226,,0.007,,,,,,,236.0,,310.0,,21.2,2.0,,,,0.031,,0.624,,0.175,,,,,,,55.6,,574.0,,,,,,,,,,,,,,,,2.0,0.77,,0.201,0.118,1.77,,0.168,5.0,5.0,5.0,,2.0,,,,,5.95,,,,,,,,,,,33.8,62.7,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiyuch,,,,0.9,,,,,8.0,,17.6,,60.0,,,0.057,,,69.0,290.0,0.1,,,0.014,,,,5.3,,3.8,,4.5,,,,,1.61,,,,,,,,,,,,,,,,,,,24.0,0.2,0.182,,,,,,,,,,,,,,,,,,,,,,47.0,,304.0,,1.5,,,,,,,,,,,,,,,,,,20.0,,,0.05,8.55,,,,,,,,,,,100.0,5.0,,,,,,,,,,,,54.1,,,,,,,,,,,,,,,,,79.9,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerola juice,,,,0.2,,,,,10.0,,4.8,,305.0,,,0.086,,,23.0,96.0,0.3,0.082,0.09,0.068,,,,0.3,,,,,,,,,0.5,,,,17.0,,,,,0.001,,,0.081,,,,,,,12.0,,,,,,,,,,,,0.046,,,0.044,,,,,,,,,9.0,,97.0,,0.4,,,,,0.002,,0.048,,0.016,,,,,,,0.1,,3.0,,,,4.5,,,,,,,,,,,509.0,25.0,,,0.02,0.06,0.4,0.205,0.004,14.0,14.0,14.0,,1600.0,,,,,0.18,,,,,,,,,,,1.4,94.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acerola, (west indian cherry)",,,,0.2,,,,,12.0,,7.69,,,,,0.086,,,32.0,134.0,0.3,0.082,0.09,0.068,,,,1.1,,,,,,,,,0.2,,,,,,,,,0.001,,,0.081,,,,,,,18.0,,,,,,,,,,,,0.046,,,0.044,,,,,,,,,11.0,,146.0,,0.4,,,,,0.002,,0.048,,0.016,,,,,,,0.6,,7.0,,,,,,,,,,,,,,,767.0,38.0,,,0.02,0.06,0.4,0.309,0.009,14.0,14.0,14.0,,1680.0,,,,,,,,,,,,,,,,,91.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acorn flour, full fat",0.427,,0.577,1.69,0.774,,,,43.0,,54.6,,,,,0.611,,0.133,501.0,2100.0,30.2,19.1,5.81,3.92,,,,,,,,,1.2,0.348,0.208,,1.21,0.348,,0.596,,,0.468,,,,,,19.1,,,,,,,110.0,,1.74,0.126,,,,,,,,,5.81,,,,,,,,,,,0.328,103.0,,712.0,0.3,7.49,,,,,,,3.6,,0.319,,,,,,,,0.318,,,,,,,,,,,,0.288,0.09,0.227,0.421,51.0,3.0,,,0.146,0.154,2.38,0.931,0.688,114.0,114.0,114.0,,,,,,,,,,,,,,,,,,,6.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorn stew (apache),0.45,,0.47,0.72,0.83,,,,14.0,,9.22,,,20.0,,0.03,,0.09,95.0,399.0,3.47,1.68,0.297,1.28,,,,0.7,,,,,1.51,0.42,0.23,,1.0,0.35,,0.62,,,0.58,0.02,,0.11,,0.03,1.51,,,0.01,,,,12.0,0.19,0.14,0.16,,,,,,0.007,,,0.26,,,0.01,,0.02,,,,,,0.33,62.0,,110.0,0.46,6.81,,,,,0.09,0.01,0.75,0.04,0.39,,,,,,,8.3,0.33,130.0,6.57,,0.16,0.34,,,,,,,0.36,0.04,0.25,0.39,,,0.68,,0.175,0.125,2.14,0.212,0.055,33.0,44.0,18.0,15.0,,,,,,0.3,,0.02,0.12,,0.05,,0.23,,,0.9,,79.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorns,0.35,,0.473,1.35,0.635,,,,41.0,,40.8,,,,,0.621,,0.109,387.0,1620.0,23.9,15.1,4.6,3.1,,,,,,,,,0.986,0.285,0.17,,0.79,0.285,,0.489,,,0.384,,,,,,15.1,,,,,,,62.0,,1.34,0.103,,,,,,,,,4.6,,,,,,,,,,,0.269,79.0,,539.0,0.246,6.15,,,,,,,2.85,,0.252,,,,,,,,0.261,,,,,,,,,,,,0.236,0.074,0.187,0.345,39.0,2.0,,,0.112,0.118,1.83,0.715,0.528,87.0,87.0,87.0,,,,,,,,,,,,,,,,,,,27.9,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acorns, dry",0.461,,0.623,1.78,0.837,,,,54.0,,53.7,,,,,0.818,,0.144,509.0,2130.0,31.4,19.9,6.05,4.08,,,,,,,,,1.3,0.376,0.224,,1.04,0.376,,0.644,,,0.505,,,,,,19.9,,,,,,,82.0,,1.36,0.136,,,,,,,,,6.05,,,,,,,,,,,0.354,103.0,,709.0,0.324,8.1,,,,,,,3.75,,0.332,,,,,,,,0.344,,,,,,,,,,,,0.312,0.098,0.246,0.455,,,,,0.149,0.154,2.41,0.94,0.695,115.0,115.0,115.0,,,,,,,,,,,,,,,,,,,5.06,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave (southwest),0.024,,0.106,1.27,0.041,,,,417.0,,16.2,,22.0,,,0.138,,0.008,68.0,286.0,0.15,,,,,,,6.6,,0.98,,1.19,0.052,0.019,0.008,,1.8,0.014,,0.025,,,0.028,,,,,,,,,,,,,55.0,,0.094,0.009,,,,,,,,,,,,,,,,,,,,0.019,7.0,,127.0,0.013,0.52,,,,,,,,,,,,,,,,0.4,0.021,14.0,0.24,,0.41,2.58,,,,,,,0.014,0.008,0.009,0.022,37.0,2.0,,,0.029,0.039,0.162,0.041,0.055,7.0,7.0,7.0,,4.0,,,,,0.23,,,,,,,,,,,5.3,81.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave liquid sweetener,,,,,,,,,1.0,,76.4,,94.0,,13.3,0.009,,,310.0,,0.45,,,,,,,0.2,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,0.09,,,,,,,,,,,,,,,,1.7,,4.0,,,,,,,,,,,,,,,,8.0,,,0.122,0.165,0.689,,0.234,30.0,30.0,30.0,,17.0,,,,,0.98,,,,,,,,,,,22.5,22.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,
